FeatureID	State0	State1	EstimatedD	NoPhylogeneticStructure	BrownianPhylogeneticStructure
GB022	20	7	1.010277	0.4855	0.0095
GB023	19	12	0.4461553	0.0107	0.0884
GB026	20	9	1.287657	0.8872	0
GB027	24	6	1.232613	0.7816	0.001
GB028	16	13	1.067124	0.5951	3e-04
GB030	14	15	1.012739	0.4919	0.0012
GB031	18	9	0.9209616	0.3524	0.0071
GB035	19	11	0.6399641	0.0702	0.0336
GB037	16	12	0.811245	0.2059	0.0115
GB039	18	9	1.166275	0.7176	4e-04
GB043	13	17	0.9714269	0.4172	7e-04
GB044	19	13	0.8258197	0.2096	0.0066
GB046	15	14	1.061583	0.5768	4e-04
GB047	12	15	1.295889	0.8905	1e-04
GB048	18	13	0.8912252	0.2917	0.0043
GB049	16	10	0.739332	0.1563	0.0266
GB057	19	10	1.053138	0.5599	0.0019
GB059	18	10	1.316622	0.9207	1e-04
GB068	27	4	0.8670991	0.3239	0.0635
GB069	13	14	0.9054498	0.3246	0.0037
GB070	21	10	0.7274627	0.1252	0.024
GB071	10	16	1.081521	0.5888	0.0017
GB075	20	11	1.244848	0.8739	1e-04
GB082	15	14	1.15382	0.7324	4e-04
GB083	22	8	0.9677829	0.4157	0.0053
GB084	19	11	0.8839776	0.2758	0.0053
GB086	10	12	1.484378	0.9715	1e-04
GB089	17	13	0.9219751	0.3416	0.0023
GB091	18	13	1.114558	0.672	1e-04
GB095	14	13	0.8424126	0.2284	0.009
GB105	19	8	1.203202	0.7774	4e-04
GB107	23	8	1.429472	0.9834	0
GB108	14	10	1.298565	0.8829	4e-04
GB111	22	11	1.128148	0.7049	3e-04
GB114	16	10	0.7814154	0.1834	0.0282
GB115	18	13	0.700337	0.0942	0.0112
GB117	16	14	1.209592	0.819	0
GB118	16	10	1.254546	0.8545	2e-04
GB119	21	11	0.8850724	0.2755	0.0067
GB120	15	13	1.414122	0.9797	0
GB121	20	9	0.8425032	0.2386	0.015
GB122	19	13	1.148523	0.749	2e-04
GB123	19	12	0.6703876	0.0812	0.0241
GB124	24	8	1.130707	0.6902	7e-04
GB126	20	8	0.6940774	0.1153	0.0458
GB127	10	18	1.234287	0.8442	0
GB132	21	12	1.05812	0.5803	1e-04
GB134	14	8	1.36482	0.8852	4e-04
GB135	19	8	0.9038891	0.3288	0.0117
GB136	19	8	0.977562	0.4344	0.0066
GB137	19	14	1.012255	0.4967	3e-04
GB138	15	13	0.9235824	0.3393	0.0043
GB139	16	13	1.093132	0.6373	6e-04
GB140	19	10	1.21343	0.7938	2e-04
GB146	16	11	0.6224029	0.0688	0.0477
GB147	20	7	1.44961	0.972	0
GB150	20	10	0.5757395	0.0499	0.0588
GB151	15	14	0.8223594	0.2137	0.0086
GB152	19	11	1.343348	0.9519	1e-04
GB156	16	10	1.1879	0.7756	8e-04
GB158	15	11	1.12702	0.6623	9e-04
GB159	15	11	1.133209	0.6763	5e-04
