ID	0states	1states	EstimatedD	NoPhylogeneticStructure	BrownianPhylogeneticStructure
GB022	30	7	0.5355488	0.0413	0.0969
GB023	36	1	-0.4577433	0.2693	0.5645
GB026	11	7	0.4631548	0.0882	0.1824
GB027	12	11	0.7363753	0.2026	0.0455
GB028	30	6	-0.002859207	0.0013	0.4894
GB030	35	1	-5.38705	0.0287	0.9434
GB031	33	2	0.9401144	0.4463	0.1706
GB035	22	13	0.5097286	0.0175	0.0567
GB037	34	1	0.2957865	0.3429	0.5011
GB039	29	5	0.7652456	0.1985	0.0613
GB043	36	1	-0.4534024	0.2652	0.5617
GB044	8	29	0.1362503	6e-04	0.3651
GB046	2	24	-1.841455	0.0036	0.895
GB047	1	25	4.950514	0.7762	0.0745
GB048	3	23	0.805699	0.3372	0.1434
GB049	3	24	0.6538785	0.2446	0.2254
GB057	20	15	0.05804634	0	0.4216
GB059	26	8	-0.1339238	0	0.6583
GB068	24	10	0.1988874	0.001	0.3169
GB069	29	5	-0.1191846	0.0022	0.5714
GB070	1	36	3.533332	0.73	0.1976
GB071	2	34	0.3729862	0.2374	0.3504
GB075	1	35	4.611298	0.8872	0.0304
GB082	5	31	0.3612536	0.0281	0.2438
GB083	1	36	0.08935389	0.3531	0.5294
GB084	13	22	-0.2664862	0	0.7977
GB086	11	24	0.8156447	0.1897	0.0075
GB089	14	23	-0.4626469	0	0.9391
GB091	14	23	-0.4679687	0	0.9345
GB095	35	1	-1.63053	0.2572	0.6122
GB105	28	4	0.2008666	0.0271	0.3669
GB107	7	29	-0.05340579	5e-04	0.5332
GB108	26	7	-0.4320651	0	0.8056
GB111	12	17	-0.6805421	0	0.9703
GB114	10	18	0.1199026	0.0021	0.388
GB115	4	26	0.1003822	0.0176	0.4694
GB117	2	30	-0.3803885	0.0498	0.6858
GB118	11	5	1.223212	0.6575	0.0222
GB119	14	21	0.5721691	0.0231	0.0416
GB120	10	25	0.5677318	0.0303	0.0633
GB121	22	14	0.4338082	0.0065	0.0917
GB122	14	7	-0.1695135	0.0013	0.6677
GB123	1	17	-0.3805364	0.2265	0.5012
GB126	9	18	0.1757006	0.0025	0.3597
GB127	18	1	6.132578	0.7432	0.1397
GB132	34	3	1.150546	0.5968	0.0246
GB134	2	25	-0.09170958	0.1303	0.5193
GB135	2	19	1.876695	0.7876	0.0486
GB136	13	13	0.2069185	0.0051	0.2902
GB137	7	29	0.3260364	0.0078	0.2209
GB138	33	1	0.47768	0.3485	0.5532
GB139	12	21	0.2637732	0.0014	0.2182
GB140	24	6	0.2401111	0.0131	0.2974
GB146	11	6	0.2645116	0.0416	0.386
GB147	4	33	0.05857102	0.0105	0.4797
GB150	2	28	1.316932	0.5946	0.0973
GB152	8	24	0.7127143	0.1188	0.044
GB156	35	1	-6.617103	0	0.9408
GB158	22	2	1.517332	0.7292	0.0745
GB159	20	4	0.8926547	0.3435	0.075
GB160	6	21	1.354147	0.903	4e-04
GB166	36	1	-0.3574544	0.2688	0.552
GB167	33	2	0.4877036	0.2697	0.3028
GB184	32	3	0.8672209	0.3888	0.1081
GB185	22	6	0.8880588	0.3147	0.0296
GB187	2	28	0.1246141	0.1418	0.4469
GB188	24	4	0.2282413	0.041	0.3701
GB196	35	1	-5.144544	0.0265	0.937
GB197	35	1	-5.610274	0.0244	0.9429
GB204	2	18	1.986326	0.9673	0.0075
GB250	26	4	-0.05106244	0.0137	0.5322
GB252	8	21	1.14168	0.6865	0.0011
GB253	18	10	-0.0938916	3e-04	0.5898
GB254	12	18	0.6115703	0.0593	0.0411
GB256	21	6	0.2877582	0.0146	0.3343
GB257	26	8	0.7758936	0.1656	0.0181
GB263	2	33	-2.069606	0	0.9727
GB264	34	1	2.336188	0.5122	0.3331
GB266	7	24	-0.2227722	3e-04	0.6397
GB273	23	11	-0.3869961	0	0.8694
GB275	21	9	0.1919336	0.0043	0.3268
GB276	28	3	-0.06157604	0.02	0.5722
GB286	30	5	0.08768473	0.0056	0.4302
GB296	11	11	0.5357145	0.0809	0.1064
GB298	25	11	-0.3357605	0	0.8083
GB299	27	7	0.3868898	0.0184	0.1914
GB301	6	5	-0.05636068	0.0553	0.4985
GB304	4	23	0.08509446	0.0192	0.4702
GB305	1	29	-3.329044	0.0953	0.7727
GB306	14	3	-0.7254925	0.0045	0.7046
GB309	21	13	0.3097464	0.0016	0.1775
GB313	27	7	0.9268575	0.355	0.0139
GB316	36	1	-0.3307134	0.2738	0.5516
GB318	36	1	-0.4116381	0.2727	0.5584
GB322	28	6	0.857926	0.283	0.0241
GB323	24	9	1.223026	0.8488	0
GB324	12	15	0.5994073	0.0696	0.0503
GB325	17	7	1.129088	0.6489	0.0037
GB326	2	25	1.340042	0.6512	0.0765
GB327	27	5	0.7735732	0.2176	0.0578
GB329	18	3	0.8527193	0.3465	0.1426
GB400	29	3	0.447751	0.1428	0.2714
GB401	5	3	0.336875	0.1803	0.3952
