#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:tree">
#                <taxonset id="TaxonSet.transeurasian" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:transeurasian" name="distribution">
#            <parameter id="bcov_alpha.s:transeurasian" lower="1.0E-4" name="x" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr"/>
#        </prior>
#        <prior id="bcov_s_prior.s:transeurasian" name="distribution">
#            <parameter id="bcov_s.s:transeurasian" lower="1.0E-4" name="x" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="MeanRatePrior.c:clock" name="distribution">
#            <parameter id="ucldMean.c:clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:clock" name="distribution">
#            <parameter id="ucldStdev.c:clock" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="Yayoi.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Yayoi" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Yuwan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Yonaguni" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tarama" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Solon" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Shuri" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Okinoerabu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ogami" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Hateruma" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ikema" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Japanese" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr" offset="1700.0">
#                <parameter estimate="false" id="RealParameter.6" name="M">400.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">0.6</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.transeurasian" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@transeurasian" excludeto="1" filter="-" id="orgdata.transeurasian" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:transeurasian" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:transeurasian" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:transeurasian" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:transeurasian" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:transeurasian" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:transeurasian">
#                    <parameter dimension="2" id="frequencies.s:transeurasian" lower="0.0" name="vfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:transeurasian" lower="0.0" name="hfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@transeurasian" estimate="false" id="dummyfrequencies.s:transeurasian" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:clock" id="RelaxedClock.c:clock" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:tree">
#                <LogNormal S="@ucldStdev.c:clock" id="LogNormalDistributionModel.c:clock" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="74" id="rateCategories.c:clock" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.transeurasian	TreeHeight.t:tree	mutationRate.s:transeurasian	bcov_alpha.s:transeurasian	bcov_s.s:transeurasian	YuleModel.t:tree	birthRate.t:tree	frequencies.s:transeurasian1	frequencies.s:transeurasian2	ucldStdev.c:clock	rate.c:clock.mean	rate.c:clock.variance	rate.c:clock.coefficientOfVariation	monophyletic(Yayoi)	logP(mrca(Yayoi))	mrca.age(Yayoi)	ucldMean.c:clock
0	-13945.702716001251	-3732.0893686855443	-10213.613347315708	-3732.0893686855443	3400.0003998025445	1.0	0.5	0.5	-10200.434494225072	1.0	0.5	0.5	0.1	1.0593849595399254	0.00806418089063768	0.08954658133603714	1	-11.522698601587962	3400.00007686547	1.0
1000	-3568.5441947347817	-2566.8929218821754	-1001.6512728526066	-2566.8929218821754	1731.4222522183636	1.0	0.5	0.5	-985.0190407737302	0.2567332270873529	0.5	0.5	0.9812666213283427	0.7905634743458044	1.180001607432186	0.9271371794357318	0	-11.617089306258906	1731.4222522183636	1.0
2000	-2636.5018200223335	-2388.65896941197	-247.8428506103635	-2388.65896941197	1732.690021947562	1.0	0.5	0.4717336336721902	-230.0888354927448	0.026817627437817838	0.5	0.5	1.4468498530335885	0.5803959286991256	1.6374123523268946	1.2420957230020084	0	-11.399086290634841	1732.690021947562	1.0
3000	-2551.8589437432865	-2330.5516192860173	-221.30732445726903	-2330.5516192860173	1901.8177965527032	1.0	0.5	0.4717336336721902	-209.2184119856538	0.009163675032677053	0.5052682640019919	0.49473173599800807	1.3334769579423689	0.31264694726689285	1.3410204067595646	1.3426390523257508	0	-6.068417171835084	1901.8177965527032	0.746628829098997
4000	-2477.629349800485	-2257.1323767077615	-220.4969730927239	-2257.1323767077615	1751.986488322824	1.0	0.5	0.4717336336721902	-205.62532577969404	0.011521472138685396	0.5052682640019919	0.49473173599800807	1.2275655954611888	0.113976381981458	0.31867217918708424	1.050068294826898	0	-9.166580703469057	1751.986488322824	0.5653998549518549
5000	-2471.771117627856	-2238.2718119383294	-233.4993056895266	-2238.2718119383294	2559.8247417075977	1.0	0.5	0.4717336336721902	-219.57110617702637	0.007596430352398738	0.5052682640019919	0.49473173599800807	1.1667247407290882	0.06824426844126705	0.1427648328387713	1.0057218508393078	0	-8.405847171762153	2559.8247417075977	0.3799288894912038
6000	-2475.615728214563	-2248.975123827823	-226.64060438673982	-2248.975123827823	2199.2357011794247	1.0	0.5	0.4717336336721902	-214.4807074695612	0.009951191370445896	0.5041555696644203	0.4958444303355796	1.0980790530995468	0.19817260687872595	0.14836474956631518	0.9574729592290775	0	-6.845210173555676	2199.2357011794247	0.40762320183175166
7000	-2439.3523307496453	-2217.894303611906	-221.45802713773963	-2217.894303611906	1936.573884165198	1.0	0.5	0.4717336336721902	-210.10345887900337	0.007621082522221718	0.5120204946260163	0.48797950537398366	1.0980790530995468	0.10663992099983241	0.10026926772699522	1.1261214063806633	0	-6.0398815151133185	1936.573884165198	0.29433896380543023
8000	-2427.2603734373156	-2206.0808667198185	-221.1795067174971	-2206.0808667198185	1931.4899184146773	1.0	0.4488044257203437	0.41915431861559377	-209.67518550001842	0.00811954019833281	0.5120204946260163	0.48797950537398366	1.1866097305791496	0.14239204270961134	0.06292667158913973	1.2345544780374362	0	-6.03964412360332	1931.4899184146773	0.21725176368741286
9000	-2417.931692690494	-2197.3721671277444	-220.55952556274934	-2197.3721671277444	1907.0769448680783	1.0	0.4488044257203437	0.48820269495214896	-208.97901657371858	0.008752503094036163	0.5209559091903064	0.47904409080969346	1.1550733711256036	0.05329737133458535	0.05919038874931098	1.323503587912182	0	-6.059039164297204	1907.0769448680783	0.20636640533179315
10000	-2416.0031937016406	-2196.3727214047817	-219.63047229685878	-2196.3727214047817	1833.1423964378737	1.0	0.4488044257203437	0.48820269495214896	-207.55784065326742	0.01088750600871649	0.5278918646370984	0.47210813536290147	1.1802853237475768	0.14967184984380583	0.05459823850839642	1.23766500762991	0	-6.475203546513101	1833.1423964378737	0.21164972143185184
11000	-2402.9931134434655	-2181.676793313699	-221.3163201297668	-2181.676793313699	1748.1914664459803	1.0	0.4488044257203437	0.4566490059202809	-205.83038724379173	0.011201143249496632	0.5418286606228683	0.4581713393771316	1.3359460409982689	0.12512769032381563	0.042679454054581734	1.3671592315934364	0	-9.490503556872815	1748.1914664459803	0.18528932434359296
12000	-2397.178767476838	-2170.1942936263463	-226.98447385049153	-2170.1942936263463	2201.6650499017105	1.0	0.4488044257203437	0.4566490059202809	-214.2912742084089	0.008089683605473703	0.5375898648932823	0.4624101351067175	1.2828367802392056	0.15694405690141008	0.013779046416696727	1.1565942012025288	0	-6.855512702174862	2201.6650499017105	0.11174766755351942
13000	-2393.0791312752967	-2171.891076036347	-221.1880552389498	-2171.891076036347	1891.0978142447445	1.0	0.4488044257203437	0.4566490059202809	-209.1988284449579	0.010841808450202503	0.5408405732749147	0.45915942672508503	1.302044727917692	0.12830678642582125	0.01919315173834734	1.5839683616883824	0	-6.094401620659536	1891.0978142447445	0.08979442346870996
14000	-2384.792712723812	-2164.508867668882	-220.2838450549301	-2164.508867668882	1762.5620980265458	1.0	0.4160095622330376	0.4566490059202809	-206.3774308630899	0.009749074537415957	0.5408405732749147	0.45915942672508503	1.1581171826676526	0.04209026284914287	0.014126855115958962	1.4534198506735387	0	-8.442392762043838	1762.5620980265458	0.090553994840261
15000	-2389.1856772371866	-2166.66458389282	-222.52109334436705	-2166.66458389282	1980.0966324963936	1.0	0.35171841916011465	0.4566490059202809	-211.3096014810875	0.007607866151622385	0.5535183171738133	0.4464816828261864	1.0464889546043896	0.021849804310326845	0.006764113803752798	1.3870331214442313	0	-6.086431220790422	1980.0966324963936	0.062425706142198396
16000	-2373.246124838092	-2152.147138357241	-221.09898648085053	-2152.147138357241	1871.1052013341844	1.0	0.35171841916011465	0.3668812825139468	-210.2516447464782	0.012624358273005317	0.5442730728144809	0.45572692718551877	0.9706695069129426	0.035063710355796	0.002015748845839653	0.9344519373503737	0	-6.172349626503965	1871.1052013341844	0.05198071809705272
