#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:tree">
#                <taxonset id="TaxonSet.transeurasian" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:transeurasian" name="distribution">
#            <parameter id="bcov_alpha.s:transeurasian" lower="1.0E-4" name="x" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr"/>
#        </prior>
#        <prior id="bcov_s_prior.s:transeurasian" name="distribution">
#            <parameter id="bcov_s.s:transeurasian" lower="1.0E-4" name="x" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="MeanRatePrior.c:clock" name="distribution">
#            <parameter id="ucldMean.c:clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.4" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:clock" name="distribution">
#            <parameter id="ucldStdev.c:clock" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="Yayoi.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Yayoi" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Yuwan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Yonaguni" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Shuri" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Okinoerabu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ogami" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Japanese" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ikema" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Hateruma" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tarama" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr" offset="1700.0">
#                <parameter estimate="false" id="RealParameter.6" name="M">400.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">0.6</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.transeurasian	TreeHeight.t:tree	mutationRate.s:transeurasian	bcov_alpha.s:transeurasian	bcov_s.s:transeurasian	YuleModel.t:tree	birthRate.t:tree	frequencies.s:transeurasian1	frequencies.s:transeurasian2	ucldStdev.c:clock	rate.c:clock.mean	rate.c:clock.variance	rate.c:clock.coefficientOfVariation	monophyletic(Yayoi)	logP(mrca(Yayoi))	mrcatime(Yayoi)	ucldMean.c:clock
0	-10660.812984107093	NaN	-10660.812984107093	NaN	3400.904904932494	1.0	0.5	0.5	-10647.63217654292	1.0	0.5	0.5	0.1	1.0401433753037195	0.009422856718558805	0.09948010009917085	1	-11.524653075123865	3400.6021361566077	1.0
1000	-932.6469922562931	NaN	-932.6469922562931	NaN	1750.2891282157364	1.0	0.6250219831569437	0.5	-921.5990233299149	0.2377161191579396	0.5096154391780525	0.4903845608219475	0.11226000909805521	1.0349424306988437	0.011820498560072371	0.10097942386527879	0	-9.30646765773081	1750.2891282157364	1.0813852719279182
2000	-272.5942005872447	NaN	-272.5942005872447	NaN	1727.882237988254	1.0	0.696809722154533	0.6569592541244749	-256.9104010670932	0.036740164925754985	0.5188109875721908	0.4811890124278092	0.40705194648437804	7.784553356054107	0.5914780649506588	0.10936745135845993	0	-12.302278524152458	1727.882237988254	7.024928913593245
3000	-221.59320263526735	NaN	-221.59320263526735	NaN	1873.3254567567647	1.0	0.7479542747748162	0.6569592541244749	-212.8611106989444	0.013198144402351356	0.5188109875721908	0.4811890124278092	0.21203091836005264	31.77653168924409	9.620900836624902	0.10673085098113677	0	-6.161507760156857	1873.3254567567647	28.795980873453512
4000	-221.27625868589385	NaN	-221.27625868589385	NaN	1909.7840517039244	1.0	0.583378869434103	0.8493976832000604	-213.02590609688514	0.011004586082308717	0.5272350377282656	0.47276496227173437	0.10011526584338616	12.614664790934379	2.4687550252319177	0.11574229891260615	0	-6.055002708967493	1909.7840517039244	13.332145344980905
5000	-236.27956155096393	NaN	-236.27956155096393	NaN	2391.252019589625	1.0	0.5383712655509453	1.0968052804863337	-226.6931110328357	0.007187417617302049	0.5272350377282656	0.47276496227173437	0.04162197457233814	10.062825429127557	1.361066246119256	0.11798848793941402	0	-7.680766072800779	2391.252019589625	10.018960769040575
6000	-226.44327311076538	NaN	-226.44327311076538	NaN	1856.2571280843547	1.0	0.6728645145950986	1.0968052804863337	-218.67595661989932	0.007540659018264308	0.5272350377282656	0.47276496227173437	0.01976400539094126	47.93962724539899	24.574325345241387	0.10559488250929328	0	-6.261757058359477	1856.2571280843547	46.41298593927945
7000	-231.7370579134428	NaN	-231.7370579134428	NaN	2061.429625070325	1.0	0.49414125789526575	0.7213034736611582	-224.23830166868075	0.0055141561177617406	0.5335086067747347	0.46649139322526534	0.02501032719271205	148.91731195058216	260.2948346883598	0.10938716556190892	0	-6.30676136882701	2061.429625070325	146.36820887355609
8000	-260.2830603348692	NaN	-260.2830603348692	NaN	2073.5840714976184	1.0	0.49414125789526575	0.7213034736611582	-251.6191034193944	0.0034654712039263545	0.5376648366897439	0.46233516331025615	0.14501117279522296	825.2817877327282	9499.318826099543	0.11904656660227596	0	-6.348578330450152	2073.5840714976184	833.6217417265228
9000	-264.3480923947992	NaN	-264.3480923947992	NaN	2213.0096914754813	1.0	0.39558507023439704	0.9600733342711784	-255.17548297318268	0.002980395006670894	0.5331360028922345	0.46686399710776544	0.09281373465952658	5537.784439445834	352405.21532818646	0.10871785578371583	0	-6.903817828911006	2213.0096914754813	5422.536724422435
10000	-276.24181903704414	NaN	-276.24181903704414	NaN	1856.2611206580195	1.0	0.39251084223881383	0.9600733342711784	-267.28999608405525	0.0017061933028298083	0.5321161665234102	0.46788383347658974	0.15902849541456263	12460.014318324269	1798942.662715197	0.10904260928219385	0	-6.261728672011738	1856.2611206580195	12365.65895079329
