#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:tree">
#                <taxonset id="TaxonSet.transeurasian_stable" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:transeurasian_stable" name="distribution">
#            <parameter id="bcov_alpha.s:transeurasian_stable" lower="1.0E-4" name="x" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr"/>
#        </prior>
#        <prior id="bcov_s_prior.s:transeurasian_stable" name="distribution">
#            <parameter id="bcov_s.s:transeurasian_stable" lower="1.0E-4" name="x" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="MeanRatePrior.c:clock" name="distribution">
#            <parameter id="ucldMean.c:clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.4" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:clock" name="distribution">
#            <parameter id="ucldStdev.c:clock" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="Yayoi.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Yayoi" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Yuwan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Yonaguni" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tarama" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Shuri" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Okinoerabu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ogami" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Japanese" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ikema" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Hateruma" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr" offset="1700.0">
#                <parameter estimate="false" id="RealParameter.6" name="M">400.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">0.6</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.transeurasian_stable" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@transeurasian_stable" excludeto="1" filter="-" id="orgdata.transeurasian_stable" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:transeurasian_stable" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:transeurasian_stable" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:transeurasian_stable" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:transeurasian_stable" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:transeurasian_stable" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:transeurasian_stable">
#                    <parameter dimension="2" id="frequencies.s:transeurasian_stable" lower="0.0" name="vfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:transeurasian_stable" lower="0.0" name="hfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@transeurasian_stable" estimate="false" id="dummyfrequencies.s:transeurasian_stable" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:clock" id="RelaxedClock.c:clock" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:tree">
#                <LogNormal S="@ucldStdev.c:clock" id="LogNormalDistributionModel.c:clock" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="74" id="rateCategories.c:clock" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.transeurasian_stable	TreeHeight.t:tree	mutationRate.s:transeurasian_stable	bcov_alpha.s:transeurasian_stable	bcov_s.s:transeurasian_stable	YuleModel.t:tree	birthRate.t:tree	frequencies.s:transeurasian_stable1	frequencies.s:transeurasian_stable2	ucldStdev.c:clock	rate.c:clock.mean	rate.c:clock.variance	rate.c:clock.coefficientOfVariation	monophyletic(Yayoi)	logP(mrca(Yayoi))	mrca.age(Yayoi)	ucldMean.c:clock
0	-12378.979993526493	-2165.1880610731478	-10213.791932453345	-2165.1880610731478	3400.003007156599	1.0	0.5	0.5	-10200.613079284969	1.0	0.5	0.5	0.1	0.9484059324534558	0.008831653316921165	0.09291153072001	1	-11.522698679327693	3400.000100810441	1.0
1000	-1985.4601966177115	-1417.9161236014832	-567.5440730162284	-1417.9161236014832	1783.0118794098044	1.0	0.4573892206936574	0.5168185095368627	-556.2307507848415	0.13496954205626963	0.49775208764543444	0.5022479123545656	0.5910752463282121	24.136469532709615	86.67612307467228	0.6216100609440672	0	-7.520156140162544	1783.0118794098044	15.822863915321436
2000	-1559.2436617119279	-1328.1217790784249	-231.121882633503	-1328.1217790784249	1769.39769222064	1.0	0.4573892206936574	0.5395371667126497	-218.34917676230026	0.02150349566306442	0.5084409034972136	0.49155909650278645	0.8540141436046801	23.611822958323657	323.07463516360866	1.0887740328188826	0	-8.07846780941182	1769.39769222064	16.038640889550233
3000	-1503.2445512687495	-1283.9146019176155	-219.3299493511341	-1283.9146019176155	1783.7168728838512	1.0	0.4573892206936574	0.5395371667126497	-206.92539374546206	0.012625253745837783	0.5084409034972136	0.49155909650278645	0.9223306026494372	5.788996958100718	284.1204854353176	1.1974573402643873	0	-7.496001286133799	1783.7168728838512	16.554600947905005
4000	-1494.8366734762647	-1275.53726246377	-219.29941101249457	-1275.53726246377	1786.7553809032026	1.0	0.4573892206936574	0.5395371667126497	-206.59002593285118	0.01148911457143775	0.5158085871907234	0.4841914128092767	1.0534318884754816	10.846323959321513	253.36024726929034	1.3096039824458243	0	-7.3963544190526065	1786.7553809032026	15.858370842408853
5000	-1480.9872039977176	-1252.573583400482	-228.41362059723562	-1252.573583400482	1945.4264316815797	1.0	0.4184203373216933	0.5395371667126497	-217.05807882652167	0.004799250188787657	0.5158085871907234	0.4841914128092767	1.0531848966436883	2.1749520107598026	119.15418081101069	1.20677180104443	0	-6.0432658147766025	1945.4264316815797	10.707632114367872
6000	-1472.6821389932734	-1252.5372752569008	-220.14486373637254	-1252.5372752569008	1818.523548403676	1.0	0.3735734425460077	0.5395371667126497	-208.0302308062609	0.009650687641628762	0.5241889032835565	0.4758110967164436	1.0950031594039507	4.485322102345383	67.49834070312994	1.203180244671186	0	-6.674929159071015	1818.523548403676	8.052556270888582
7000	-1470.7017154279984	-1247.804912426794	-222.8968030012042	-1247.804912426794	1905.8349608120336	1.0	0.3735734425460077	0.5395371667126497	-211.36775803761384	0.00791297390442044	0.5183950902040941	0.4816049097959059	1.104312395688696	8.077079111603222	73.16338939937711	1.4374436455687427	0	-6.061067508493476	1905.8349608120336	6.0860656682914405
8000	-1468.2596532615357	-1244.6696022204967	-223.59005104103895	-1244.6696022204967	1999.8175105676783	1.0	0.32754442636395764	0.5395371667126497	-212.05323781062356	0.008664835386688503	0.5183950902040941	0.4816049097959059	1.08498475880275	3.9697586690907714	28.181987726726838	1.1563502268549788	0	-6.12757418484674	1999.8175105676783	4.448080757064608
9000	-1466.8333792398591	-1240.8872324018232	-225.94614683803587	-1240.8872324018232	2029.0172706123706	1.0	0.32754442636395764	0.5469019765295375	-214.41754477061096	0.010534754856743095	0.5214507001808218	0.47854929981917826	1.0525824363777698	2.908266607420793	18.69883670192989	1.1605265161904368	0	-6.204550590081409	2029.0172706123706	3.5439247350663505
10000	-1485.1360621940153	-1241.914358118529	-243.2217040754863	-1241.914358118529	2887.376760624901	1.0	0.2696022448796516	0.4634006382397952	-228.4051224524452	0.005915395697434497	0.5249892203856665	0.4750107796143336	1.0321390702039361	1.481982564274638	4.8371062000679075	1.19391956020653	0	-9.720834587088513	2887.376760624901	1.806820653632115
11000	-1457.2073172165456	-1232.7122227785326	-224.49509443801287	-1232.7122227785326	1881.8751664948945	1.0	0.22641273727481714	0.4634006382397952	-212.92709477473272	0.00807335258095489	0.5219236898924406	0.47807631010755947	1.1462755541473826	1.4459564720170062	6.78228695990073	1.6359090194124577	0	-6.125098903258624	1881.8751664948945	1.6109288167726667
12000	-1452.9468133050816	-1229.1767644611846	-223.770048843897	-1229.1767644611846	1908.784966566774	1.0	0.1740774863095001	0.4382335236019394	-212.51634272994391	0.007044473215933619	0.5157212141471204	0.48427878585287976	1.083580712818214	2.403774028414481	3.0204826591064706	1.2343899994433765	0	-6.056431842572003	1908.784966566774	1.4343765130213597
13000	-1450.7581257605189	-1226.2553286237733	-224.5027971367457	-1226.2553286237733	1762.0574770369365	1.0	0.14965532200442608	0.4382335236019394	-211.1336356365388	0.007669184375539614	0.5157212141471204	0.48427878585287976	0.9856032224281932	1.5870622509183172	0.8013102445389065	1.1158992920308164	0	-8.472073201500223	1762.0574770369365	0.8988224056174107
14000	-1438.5560574666947	-1214.0189563976944	-224.53710106900027	-1214.0189563976944	1822.2806968264954	1.0	0.14965532200442608	0.39810271457903007	-212.95425188111335	0.012378737874046652	0.5157212141471204	0.48427878585287976	1.038756289454192	0.4741196101982421	0.6099273181981242	1.0687942087317917	0	-6.617650407305413	1822.2806968264954	0.9028779118833522
15000	-1441.8598449244196	-1216.4327917341016	-225.4270531903181	-1216.4327917341016	1885.2166768410864	1.0	0.09847287450906185	0.39810271457903007	-214.3075542391319	0.006421432820868292	0.5157212141471204	0.48427878585287976	1.052254803972359	0.48448706323933627	0.7618756072749918	1.0312671868885288	0	-6.113010188739777	1885.2166768410864	1.1053470751225558
16000	-1434.8255081067525	-1211.2723061414426	-223.55320196530994	-1211.2723061414426	1813.9746107738808	1.0	0.08890054425693442	0.2897776435022349	-211.9094508310203	0.008980391663679598	0.5157212141471204	0.48427878585287976	1.1177267290282193	1.1707276219848273	0.923333384390103	1.439586496567106	0	-6.750583393324261	1813.9746107738808	0.8432643284727201
