#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:tree">
#                <taxonset id="TaxonSet.transeurasian_stable" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:transeurasian_stable" name="distribution">
#            <parameter id="bcov_alpha.s:transeurasian_stable" lower="1.0E-4" name="x" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr"/>
#        </prior>
#        <prior id="bcov_s_prior.s:transeurasian_stable" name="distribution">
#            <parameter id="bcov_s.s:transeurasian_stable" lower="1.0E-4" name="x" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="MeanRatePrior.c:clock" name="distribution">
#            <parameter id="ucldMean.c:clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.4" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:clock" name="distribution">
#            <parameter id="ucldStdev.c:clock" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="Yayoi.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Yayoi" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Hateruma" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ikema" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Japanese" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Yonaguni" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Yuwan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tarama" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ogami" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Okinoerabu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Shuri" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr" offset="1700.0">
#                <parameter estimate="false" id="RealParameter.6" name="M">400.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">0.6</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.transeurasian_stable	TreeHeight.t:tree	mutationRate.s:transeurasian_stable	bcov_alpha.s:transeurasian_stable	bcov_s.s:transeurasian_stable	YuleModel.t:tree	birthRate.t:tree	frequencies.s:transeurasian_stable1	frequencies.s:transeurasian_stable2	ucldStdev.c:clock	rate.c:clock.mean	rate.c:clock.variance	rate.c:clock.coefficientOfVariation	monophyletic(Yayoi)	logP(mrca(Yayoi))	mrcatime(Yayoi)	ucldMean.c:clock
0	-10258.00779716183	NaN	-10258.00779716183	NaN	3400.392957517519	1.0	0.5	0.5	-10244.827755598819	1.0	0.5	0.5	0.1	1.0509592372822267	0.006886914165137381	0.08226980166764197	1	-11.523887073963	3400.366163261118	1.0
1000	-691.0967870851259	NaN	-691.0967870851259	NaN	1720.2932907226125	1.0	0.4877232457806079	0.41853146002301445	-673.8462692437575	0.1659142737195506	0.4948646525335434	0.5051353474664566	0.40831647474428123	29.04177858218474	32.106296117232155	0.19893647071068368	0	-14.316426875970375	1720.2932907226125	28.23773331151061
2000	-236.43839748090062	NaN	-236.43839748090062	NaN	1756.3652063364036	1.0	0.40082652915236844	0.5252335666840686	-226.39363004513763	0.020602994827057436	0.48711308113983015	0.5128869188601698	0.045970215517792	37.95240180302917	44.49938092436416	0.17674509120203086	0	-8.838604700713987	1756.3652063364036	36.89655071978998
3000	-225.5567417287397	NaN	-225.5567417287397	NaN	1983.079403516611	1.0	0.41464444417161034	0.472328545400854	-219.16778416687976	0.008470170868784072	0.48711308113983015	0.5128869188601698	0.00986602645154899	39.826524987884056	55.50714145321779	0.18491478443831477	0	-6.091991442705041	1983.079403516611	40.804125298096196
4000	-228.43776560864586	NaN	-228.43776560864586	NaN	1787.1106751527839	1.0	0.41464444417161034	0.472328545400854	-221.9659892533065	0.006898218869781129	0.48711308113983015	0.5128869188601698	7.497935861645926E-4	81.57695911386253	184.28158882494748	0.15604019037618397	0	-7.3851568666405125	1787.1106751527839	86.61521798932473
5000	-241.22766826606164	NaN	-241.22766826606164	NaN	1942.4111792217616	1.0	0.4069473079608351	0.472328545400854	-236.02956247028223	0.0055240298517273256	0.48711308113983015	0.5128869188601698	8.71889440909131E-4	40.46288534039923	81.52133461417921	0.19575093502303828	0	-6.04170850310963	1942.4111792217616	46.00167110228376
6000	-245.01265048728976	NaN	-245.01265048728976	NaN	1977.1773572012967	1.0	0.40894128019526177	0.472328545400854	-239.52156737012686	0.004413348165374919	0.4958564492079775	0.5041435507920224	0.0015065046382295576	88.38389398125531	195.0282546457895	0.1582898835280841	0	-6.081238326883926	1977.1773572012967	88.35771234009282
7000	-256.1297986447392	NaN	-256.1297986447392	NaN	1916.0925715891015	1.0	0.32344571400974287	0.6072310351215107	-250.58833329222537	0.0031999433155555043	0.4958564492079775	0.5041435507920224	0.0010484359325067963	130.41198645243446	196.14716156344096	0.10456772588968674	0	-6.047548599472617	1916.0925715891015	131.54345751532583
8000	-265.9784776557642	NaN	-265.9784776557642	NaN	2019.6717424128642	1.0	0.3069048656475894	0.6072310351215107	-260.36632760555386	0.002441438253316775	0.4958564492079775	0.5041435507920224	9.21229126177517E-4	509.1937912383356	10144.176364638926	0.19553892810373608	0	-6.1781172661970105	2019.6717424128642	510.00193739433286
9000	-263.6215635082584	NaN	-263.6215635082584	NaN	1841.8562369839187	1.0	0.2550225840497508	0.8023908390099529	-257.3758181974354	0.0026093697849356983	0.5039734043677512	0.49602659563224877	0.0012605876499711323	2434.1185677546323	201758.61904752263	0.18386340359613054	0	-6.382163064396208	1841.8562369839187	2514.3233351117988
10000	-268.51099346698805	NaN	-268.51099346698805	NaN	2013.9168654638504	1.0	0.269625638515464	0.7511920263267569	-262.3156167807685	0.002909200630504285	0.5039734043677512	0.49602659563224877	0.0020988581084285356	4029.4417332794574	581472.8508719559	0.19226798707466095	0	-6.162638074608593	2013.9168654638504	3930.308341942358
11000	-268.0050328296549	NaN	-268.0050328296549	NaN	1812.8756817133867	1.0	0.2148182183166167	0.7511920263267569	-260.0945342244579	0.0018820324146248933	0.49551419192599205	0.5044858080740079	0.02091610490632709	2679.5120899090593	313412.46542463225	0.20459143942453886	0	-6.769969679438269	1812.8756817133867	2630.319267559675
12000	-266.40121850945593	NaN	-266.40121850945593	NaN	1830.5635442114242	1.0	0.2387480776183069	0.7511920263267569	-259.61819872231115	0.0022237477325071833	0.48666831455451776	0.5133316854454821	0.003537577155848736	6100.967697664891	1129555.3437756982	0.18100643043999173	0	-6.506162717728737	1830.5635442114242	5658.854150265185
13000	-268.6841759111577	NaN	-268.6841759111577	NaN	2018.1029498096418	1.0	0.2387480776183069	0.6146124454465197	-261.828683163805	0.0021267286492430183	0.48181475297713816	0.5181852470228617	0.012613786319976396	5040.816629264017	847757.0378191217	0.18468710809112396	0	-6.1738348932733365	2018.1029498096418	4964.51676821507
14000	-272.1731885407116	NaN	-272.1731885407116	NaN	1969.9897275476283	1.0	0.2387480776183069	0.6146124454465197	-264.89986967983043	0.001904878226703539	0.48181475297713816	0.5181852470228617	0.03459752679533063	10451.828571345684	4195083.623860358	0.19742930982875395	0	-6.06955703963796	1969.9897275476283	10458.003530871361
15000	-275.47404890018265	NaN	-275.47404890018265	NaN	1900.001570887144	1.0	0.2387480776183069	0.6146124454465197	-267.9411498971017	0.001862361377717953	0.4760491414303484	0.5239508585696515	0.054108832451765204	21360.97895822439	1.4595920181920512E7	0.18187573189363293	0	-6.072149197123371	1900.001570887144	20653.588776225435
16000	-280.5973554886846	NaN	-280.5973554886846	NaN	1842.0500300786666	1.0	0.2387480776183069	0.6146124454465197	-271.37930395696407	0.0016430333955439074	0.46693069755620104	0.5330693024437989	0.28676953962507823	51310.2152491364	1.3066761750694126E8	0.21693588555016347	0	-6.3802822567475515	1842.0500300786666	52989.339478876645
17000	-279.18619546337686	NaN	-279.18619546337686	NaN	1963.8422018514252	1.0	0.17461182372614328	0.5259831066430465	-270.28807006192216	0.0019338304714885811	0.46693069755620104	0.5330693024437989	0.32463785914134996	317555.35097143555	4.0217180040421133E9	0.19932621378655796	0	-6.06089398960309	1963.8422018514252	324469.52685219405
18000	-287.41319607963675	NaN	-287.41319607963675	NaN	2154.8587890761114	1.0	0.17461182372614328	0.4647810933376702	-275.9298008954408	0.0013762721502083078	0.4737024061272092	0.5262975938727907	0.9427989292082376	940897.4616437366	1.8851467605671387E10	0.14746683736423202	0	-6.660302863334781	2154.8587890761114	916875.2961829891
19000	-280.79995109326796	NaN	-280.79995109326796	NaN	1948.6730446435492	1.0	0.17461182372614328	0.3702848133351272	-270.15525375136355	0.00180942628868118	0.46820976602390246	0.5317902339760975	0.9433130222932314	1.7415828582843628E7	8.858776957759754E12	0.17701761050864737	0	-6.045386872756303	1948.6730446435492	1.7115393344729763E7
20000	-313.88954343995476	NaN	-313.88954343995476	NaN	3557.6309245265575	1.0	0.15392740635720414	0.36674783293969143	-299.4712578391758	9.546751317797331E-4	0.46820976602390246	0.5317902339760975	0.3041920883084873	1.2013229382547585E7	1.860429370175565E12	0.11299369926426286	0	-12.023028988583032	3557.6309245265575	1.1696905303192994E7
21000	-283.55826820668364	NaN	-283.55826820668364	NaN	2064.5156678898143	1.0	0.15392740635720414	0.36674783293969143	-275.6650559127201	0.0019342111215841463	0.4546485727864727	0.5453514272135274	0.1346327868225335	7.824261649840459E7	2.6083580197960722E14	0.2027313615449749	0	-6.317220331987288	2064.5156678898143	7.756849466232617E7
22000	-277.24362124181056	NaN	-277.24362124181056	NaN	1924.8669000268435	1.0	0.15392740635720414	0.47895697702842627	-268.7092469437957	0.0015026369151476173	0.4562646449127737	0.5437353550872264	0.2647844599248315	5.346396340923474E7	8.970928468347702E13	0.17542180980740588	0	-6.041373046788582	1924.8669000268435	5.4771164188062765E7
23000	-262.5778848899492	NaN	-262.5778848899492	NaN	1852.8113110928355	1.0	0.14429229819269437	0.47895697702842627	-254.33323829383025	0.0025026633704615495	0.4562646449127737	0.5437353550872264	0.15471967465382636	7.005780116859096E7	1.1406789720702256E14	0.15546133673571602	0	-6.287221976746947	1852.8113110928355	6.846998543693364E7
24000	-261.8590236712384	NaN	-261.8590236712384	NaN	1937.627692976878	1.0	0.18924137259065663	0.47895697702842627	-254.18749569439862	0.0032271045204376094	0.4567793626465442	0.5432206373534559	0.10254486133517175	1.0872405937633681E8	2.777506677144592E14	0.15399694173670297	0	-6.040091623449025	1937.627692976878	1.0538962757842685E8
25000	-265.6331963897828	NaN	-265.6331963897828	NaN	1942.5839029471992	1.0	0.18924137259065663	0.45660647780335234	-258.19674982890166	0.0025142773273648033	0.4567793626465442	0.5432206373534559	0.07812797910760055	3.2975820884693287E7	2.1355025204551934E13	0.14320642307775297	0	-6.041786708301995	1942.5839029471992	3.156794460467251E7
26000	-271.25133921141645	NaN	-271.25133921141645	NaN	1872.2974698300466	1.0	0.2106467101678509	0.45660647780335234	-263.2708100550769	0.0024631690447009056	0.45103910949239945	0.5489608905076007	0.1381206585894052	6.1197078067688264E7	9.132403507526833E13	0.16549989266312914	0	-6.166452845402128	1872.2974698300466	5.784510338353283E7
27000	-286.30003599051685	NaN	-286.30003599051685	NaN	1845.3469151676934	1.0	0.2106467101678509	0.45660647780335234	-276.2384070975742	0.001504636406255265	0.45522485019904696	0.5447751498009531	0.6036779288325118	9.539001772996126E7	5.13205903586057E14	0.22931474161105617	0	-6.349447117839478	1845.3469151676934	1.0327719771164082E8
28000	-285.9167106161308	NaN	-285.9167106161308	NaN	1979.8083174386354	1.0	0.21043711836417106	0.5972836041414388	-276.2050143349239	0.001216782850512095	0.450053521876671	0.5499464781233291	0.5007436830595187	2.3829129177026147E8	1.736705763294491E15	0.1798076326021214	0	-6.085907258840807	1979.8083174386354	2.201456078804002E8
29000	-287.99163918861865	NaN	-287.99163918861865	NaN	1854.2757326697076	1.0	0.21043711836417106	0.460767163385187	-276.3918046653656	0.0015143413314913545	0.450053521876671	0.5499464781233291	1.1087613760333923	1.0227476656856201E9	2.9781117379863048E16	0.171338596820581	0	-6.276161256053051	1854.2757326697076	9.933557389810436E8
30000	-283.40202538090114	NaN	-283.40202538090114	NaN	1894.872395075101	1.0	0.20396413900145874	0.45860502900944833	-272.7617612876702	0.001771769365259979	0.45567572561904507	0.544324274380955	0.861740252656768	1.3259903449060855E9	3.6913645274798784E16	0.14854322384700866	0	-6.084138326600717	1894.872395075101	1.2543128822771437E9
31000	-276.0383980242027	NaN	-276.0383980242027	NaN	2053.991352382831	1.0	0.20396413900145874	0.45860502900944833	-268.17111454562325	0.0018290161492416298	0.45567572561904507	0.544324274380955	0.10213823289843134	1.8865670085514103E10	9.1315748104307712E18	0.1601674077629334	0	-6.282026724018587	2053.991352382831	1.84086830816683E10
32000	-281.34674259844155	NaN	-281.34674259844155	NaN	1887.625638163975	1.0	0.20396413900145874	0.47176429063239933	-272.6159482884326	0.001329029047881689	0.45567572561904507	0.544324274380955	0.2995664161659893	3.3138708259658585E10	1.6259930087834485E19	0.12372122057408613	0	-6.104988403360735	1887.625638163975	3.258045983533229E10
33000	-290.5105742860847	NaN	-290.5105742860847	NaN	2299.398815263817	1.0	0.268572496512547	0.6227520943697572	-280.11681004118344	0.0014370080859759905	0.45567572561904507	0.544324274380955	0.4605413742251315	5.564407400278472E10	9.03314364022637E19	0.17065440948094548	0	-6.869560573593506	1807.6006281754276	5.520324203671444E10
34000	-296.59356135215097	NaN	-296.59356135215097	NaN	2129.5578179927325	1.0	0.268572496512547	0.6227520943697572	-285.85666623874687	0.0013342615795815917	0.45944219919497575	0.5405578008050242	0.6498143899320515	1.5744942199204033E12	4.181956418096305E22	0.1323987365512028	0	-6.55857421693662	2129.5578179927325	1.5376753706739739E12
35000	-290.5756020792272	NaN	-290.5756020792272	NaN	2158.796948472662	1.0	0.2971674081173393	0.6227520943697572	-281.84981594548367	0.0011722707616443053	0.4543191009294981	0.5456808990705019	0.22860627589920418	1.3048351668175172E13	5.379728844217553E24	0.17541269550318198	0	-6.131366237251251	1880.2579416567244	1.298357052630474E13
36000	-278.09910399478986	NaN	-278.09910399478986	NaN	2079.0145596439306	1.0	0.24236022106442479	0.6227520943697572	-269.5541425566217	0.0016089283712120842	0.4640924207277307	0.5359075792722693	0.1469562842712123	1.3881483988223431E14	4.4054852413069754E26	0.15270000565843755	0	-6.367776072172472	2079.0145596439306	1.376866814750501E14
37000	-288.1654838643319	NaN	-288.1654838643319	NaN	2089.934442104167	1.0	0.17880271144290347	0.4909071105826316	-280.72691779994994	0.001666443032739507	0.4526272156634905	0.5473727843365095	0.038090185427389275	7.05453465172576E13	7.811708912415242E25	0.124118401515484	0	-6.407250705513405	2089.934442104167	7.200302996429228E13
38000	-300.008423513875	NaN	-300.008423513875	NaN	2313.2146308181455	1.0	0.17880271144290347	0.4289639777605209	-290.3325164634233	0.0010734882674700728	0.43003715060911324	0.5699628493908867	0.25423232587273475	8.812462153694429E14	2.4095469352668212E28	0.17790452366814602	0	-7.338985027635381	2313.2146308181455	8.564473439027962E14
39000	-285.7575952029422	NaN	-285.7575952029422	NaN	1957.3534329704175	1.0	0.17880271144290347	0.2650021906952197	-277.2522337007192	0.0015392362861817433	0.4532618429739115	0.5467381570260884	0.3996953160364498	1.80779705031490624E17	1.0413215365311134E33	0.18211414043988042	0	-6.053186056940012	1957.3534329704175	1.75452236311724256E17
40000	-280.71774234702815	NaN	-280.71774234702815	NaN	1991.5580465976825	1.0	0.17880271144290347	0.2650021906952197	-272.29100410019635	0.0016446140571547698	0.4308767975979451	0.5691232024020547	0.36450848679853226	1.3469096578111104E17	3.673131499584177E32	0.14206738877200145	0	-6.109126148184265	1991.5580465976825	1.349594981200312E17
41000	-289.62840099925955	NaN	-289.62840099925955	NaN	1987.4271300815028	1.0	0.37365797656019534	0.2650021906952197	-280.73693535614694	0.0016787954985657933	0.41090834972011997	0.5890916502798799	0.49239183492104094	2.04721527951583552E17	1.0340849649771242E33	0.15696314619313587	0	-6.100538942349259	1987.4271300815028	2.0572771870331072E17
42000	-283.7946957692466	NaN	-283.7946957692466	NaN	2041.5656863885226	1.0	0.37365797656019534	0.8319339377431123	-273.4854101896889	0.0018384488382952111	0.3940067498827451	0.6059932501172547	0.5300455464617595	2.21237329776227392E17	1.1401287269393157E33	0.14857204032956997	0	-6.242329758205499	2041.5656863885226	2.29777244747665408E17
43000	-278.5884765107903	NaN	-278.5884765107903	NaN	1927.0297555243417	1.0	0.37365797656019534	0.8319339377431123	-269.504988331295	0.0024898349834026738	0.3915317244422395	0.6084682755577603	0.26251853911443424	1.992640713179468E16	1.2961296503298695E31	0.18111769922072482	0	-6.040544243744993	1927.0297555243417	2.0253938826146632E16
44000	-265.3184277325356	NaN	-265.3184277325356	NaN	1865.842177487349	1.0	0.37365797656019534	0.8319339377431123	-257.0284797299821	0.0030273835973293403	0.3929110365561087	0.6070889634438911	0.08884998614206648	9.517092748413496E15	3.909313452936738E30	0.1963708818827351	0	-6.200537440535934	1865.842177487349	9.968301419664648E15
45000	-262.3521630499103	NaN	-262.3521630499103	NaN	1970.0092831745696	1.0	0.6690383040731247	0.8292919771636283	-255.9295652755795	0.0035607763034270295	0.4212473440934519	0.5787526559065479	0.0033496660329136404	3.5376485731894935E15	3.628759298990565E29	0.1701483402694388	0	-6.069586605623048	1970.0092831745696	3.505775260851268E15
46000	-261.0037878048776	NaN	-261.0037878048776	NaN	1980.7834548325823	1.0	0.8404240948308876	0.7886949542925227	-255.1048851994388	0.002843289920750859	0.43608802293161364	0.5639119770683861	0.0011698168861384167	8.648325834120328E16	1.6467107765296177E32	0.14920694494391604	0	-6.087689063863333	1980.7834548325823	8.7106341777604192E16
47000	-265.3692120343955	NaN	-265.3692120343955	NaN	1855.5970756560598	1.0	0.8404240948308876	0.7886949542925227	-258.6160197530804	0.002551444944001136	0.43608802293161364	0.5639119770683861	0.004965184151565727	7.3833839728742592E16	2.0048841258546726E32	0.19008977871824298	0	-6.266484927901354	1855.5970756560598	7.516461292338528E16
48000	-282.01550536529203	NaN	-282.01550536529203	NaN	1999.5173211913532	1.0	0.8404240948308876	0.7296491126895266	-275.5732418571283	0.002582717412165178	0.43608802293161364	0.5639119770683861	0.004090662991844483	3.4630183794195014E17	2.5059131544422945E33	0.14241230132033897	0	-6.1268751677652675	1999.5173211913532	3.4939171475607501E17
49000	-281.0233834533945	NaN	-281.0233834533945	NaN	1935.2915875252568	1.0	0.8404240948308876	0.7190347712345776	-275.20249051029197	0.001471291379847741	0.3931402665155022	0.6068597334844975	0.0013452511338061638	1.80178646857041434E18	8.258811597923777E34	0.1621073957252187	0	-6.039699162440463	1935.2915875252568	1.71911417422682035E18
50000	-302.31443024299745	NaN	-302.31443024299745	NaN	4511.564409374198	1.0	0.8404240948308876	0.9323544241680946	-295.7769052974655	9.613176758645494E-4	0.3931402665155022	0.6068597334844975	0.0030194774138783066	1.0845931038572734E19	5.062361696289319E36	0.2046361668032405	0	-6.111567307390079	1885.637640343843	1.1218097511800259E19
51000	-299.2356431777052	NaN	-299.2356431777052	NaN	2604.4371896996854	1.0	0.8404240948308876	1.8522831266587643	-291.16683773958385	8.841430745470535E-4	0.3931402665155022	0.6068597334844975	0.01317649779637548	3.1119294636169482E18	2.684439050702726E35	0.1629204521135214	0	-6.19378991817003	2025.27814650584	3.2881768211243684E18
52000	-298.8396605886764	NaN	-298.8396605886764	NaN	2326.352192262912	1.0	0.8404240948308876	1.8522831266587643	-287.93620402248007	0.0010630467582054169	0.3957679583041545	0.6042320416958452	0.17832821895045708	3.3234919470611712E18	3.223735532942906E35	0.16851440937198042	0	-7.396563552191748	2326.352192262912	3.4677729864738371E18
53000	-277.89710206016724	NaN	-277.89710206016724	NaN	1805.5627719624013	1.0	0.8404240948308876	1.8522831266587643	-267.5775036699665	0.002009052724356703	0.43755051182686416	0.5624494881731356	0.1599094119050675	1.6771252534513435E21	8.13782120846523E40	0.18606603137530592	0	-6.911126799259513	1805.5627719624013	1.5685679699893672E21
54000	-285.3374795069413	NaN	-285.3374795069413	NaN	1896.7678408943689	1.0	0.8404240948308876	1.8522831266587643	-274.44199173153004	0.0016749892498218446	0.43755051182686416	0.5624494881731356	0.49779318468997064	1.6090594987580628E22	6.615689492553393E42	0.16486142049458197	0	-6.079452329925467	1896.7678408943689	1.6041697256779905E22
55000	-285.2848601307948	NaN	-285.2848601307948	NaN	2181.166140263317	1.0	0.8404240948308876	1.8522831266587643	-276.02385542285845	0.0019965882265193602	0.33919531387271984	0.6608046861272799	0.04256998533891312	1.8980312100073745E22	1.1806755741486623E43	0.1758274643678662	0	-6.769104906506473	2181.166140263317	1.971055126136491E22
56000	-285.50288685038197	NaN	-285.50288685038197	NaN	2184.690808993689	1.0	0.8404240948308876	1.7355452122688302	-276.610920849102	0.0018127825618247076	0.33919531387271984	0.6608046861272799	0.024100575938914483	4.661475308169952E22	6.293668809546116E43	0.17595485609735725	0	-6.783872280622271	2184.690808993689	4.568873456748787E22
57000	-282.17841933446863	NaN	-282.17841933446863	NaN	2046.6232736126808	1.0	0.8404240948308876	1.7355452122688302	-273.4114306839944	0.0015357324444493156	0.33919531387271984	0.6608046861272799	0.04973453055383655	8.348294846819061E23	2.055884551537134E46	0.1737312584439552	0	-6.258229662424472	2046.6232736126808	8.130556778091111E23
58000	-291.1576503110817	NaN	-291.1576503110817	NaN	2006.3341825371945	1.0	0.6405248290561707	1.7355452122688302	-284.2638526751863	0.001386870217704071	0.33919531387271984	0.6608046861272799	0.0015567415365880578	7.625684364160133E23	2.1892584459582583E46	0.2031510973278402	0	-6.106065293521884	1990.1098155524223	7.397062486278743E23
59000	-292.06004527444225	NaN	-292.06004527444225	NaN	2056.818587136964	1.0	0.6405248290561707	1.7355452122688302	-284.6302173023649	0.0014688974801717169	0.40582653318879197	0.5941734668112078	0.003301919075596706	1.5641644903378192E24	5.0005821883593E46	0.14321756039013228	0	-6.291347020972364	2056.818587136964	1.5201617690458594E24
60000	-294.4193271284984	NaN	-294.4193271284984	NaN	2226.734922066323	1.0	0.6405248290561707	3.1056672757876043	-284.52947381506306	0.0016134190210011108	0.3120468278199262	0.6879531721800736	0.030733315082975027	1.558216175962604E24	7.990120030070107E46	0.17824553429723558	0	-6.962639470139958	2226.734922066323	1.6079885423226838E24
61000	-293.6810653443857	NaN	-293.6810653443857	NaN	2107.769430152245	1.0	0.6405248290561707	4.128792375189518	-280.92153131302143	0.0011927538677836485	0.2452334681222928	0.7547665318777069	0.637710492842398	6.580224997752836E24	1.0675611418722559E48	0.15343123357031138	0	-6.473947468305123	2107.769430152245	6.839735042097869E24
62000	-290.94249091008	NaN	-290.94249091008	NaN	1996.5136321202574	1.0	0.6405248290561707	4.943515606682428	-281.3840823982474	0.001212926432855597	0.27398518257583443	0.7260148174241653	0.02480475687060622	1.1675070586131128E26	4.622539242435597E50	0.1855871349582652	0	-6.119997103478057	1996.5136321202574	1.1703245532775094E26
63000	-269.6308066023353	NaN	-269.6308066023353	NaN	1834.161552054113	1.0	0.6405248290561707	4.943515606682428	-259.4021172599132	0.002243256098977287	0.27398518257583443	0.7260148174241653	0.04498045274676798	2.0749835337318235E28	1.3824908282145068E55	0.17287990820165786	0	-6.46342148822037	1834.161552054113	2.211744737649334E28
64000	-265.2087749230774	NaN	-265.2087749230774	NaN	1973.2507854589242	1.0	0.6405248290561707	4.943515606682428	-255.01309298955078	0.002705393623253704	0.1803939392340147	0.819606060765985	0.07987600085663854	6.971496360535475E27	1.3279414431012943E54	0.16358890237813578	0	-6.074657039980685	1973.2507854589242	6.832661332010671E27
65000	-281.2041538132418	NaN	-281.2041538132418	NaN	2227.429976071116	1.0	0.6405248290561707	4.943515606682428	-272.26792709559203	0.002830438677162007	0.1803939392340147	0.819606060765985	0.0011703805147301998	1.2676901747759228E28	5.2177844540430904E54	0.1856823092894599	0	-6.965628087740567	2227.429976071116	1.2279403096439345E28
66000	-290.40623534740706	NaN	-290.40623534740706	NaN	2163.868616599828	1.0	0.6405248290561707	4.943515606682428	-280.12517890828224	0.0013341986957525283	0.1803939392340147	0.819606060765985	0.03254958646622433	8.498441963743868E27	2.5192709268332965E54	0.18585945983118976	0	-6.697261166060562	2163.868616599828	8.53374055771629E27
67000	-288.6770577714098	NaN	-288.6770577714098	NaN	2072.657277253865	1.0	0.6405248290561707	6.438185587268105	-275.54502869687457	0.001570398485860528	0.1803939392340147	0.819606060765985	0.592606005923573	2.444986326755684E28	1.1202164607120371E55	0.13867346431521807	0	-6.345332447803977	2072.657277253865	2.32599727670104E28
68000	-289.6200102313763	NaN	-289.6200102313763	NaN	2119.85812380022	1.0	0.6405248290561707	5.81913786504311	-277.2840808405075	0.0013472193445000903	0.1803939392340147	0.819606060765985	0.36648788351771666	6.677226983102134E28	8.73146914621283E55	0.14042773575496856	0	-6.520516508177012	2119.85812380022	6.683212031499774E28
