Estimated D per part of speech
ID;Feature;part of speech;EstimatedD
GB026;Can adnominal property words occur discontinuously?;adjective;0.4603635
GB068;Do core adjectives (defined semantically as property concepts such as value  shape  age  dimension) act like verbs in predicative position?;adjective;0.1968686
GB069;"Do core adjectives (defined semantically as property concepts; value  shape  age  dimension) used attributively require the same morphological treatment as verbs?";adjective;-0.1191013
GB184;Can an adnominal property word agree with the noun in number?;adjective;0.8664786
GB275;Is there a bound comparative degree marker on the property word in a comparative construction?;adjective;0.1913928
TE014;Is there partial emphatic reduplication of nominal property words?;adjective;0.7085759
GB022;Are there prenominal articles?;article;0.4050011
GB023;Are there postnominal articles?;article;-0.4338349
GB035;Are there three or more distance contrasts in demonstratives?;demonstrative;0.5132756
GB037;Do demonstratives show a visible-nonvisible distinction?;demonstrative;0.3027694
GB185;Can an adnominal demonstrative agree with the noun in number?;demonstrative;0.8894051
GB039;Is there nonphonological allomorphy of noun number markers?;noun;0.7650178
GB043;Is there productive morphological dual marking on nouns?;noun;-0.4253341
GB044;Is there productive morphological plural marking on nouns?;noun;0.1430074
GB046;Is there an associative plural marker for nouns?;noun;-1.839791
GB047;Is there a productive morphological pattern for deriving an action/state noun from a verb?;noun;4.933328
GB048;Is there a productive morphological pattern for deriving an agent noun from a verb?;noun;0.8169228
GB049;Is there a productive morphological pattern for deriving an object noun from a verb?;noun;0.6526118
GB070;Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?;noun;3.394654
GB095;Are variations in marking strategies of core participants based on TAM distinctions?;noun;1.375681
GB105;Can the recipient in a ditransitive construction be marked like the monotransitive patient?;noun;0.184245
GB146;Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?;noun;0.2737823
GB159;Are nouns reduplicated?;noun;0.7693466
GB166;Is there productive morphological paucal marking on nouns?;noun;-0.34578
GB187;Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?;noun;-0.03758333
GB188;Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?;noun;0.2305974
GB316;Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?;noun;-0.4115899
GB318;Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?;noun;-0.3356132
GB408;Is there any accusative alignment of flagging?;noun;3.108626
GB410;Is there any neutral alignment of flagging?;noun;0.1084014
TE046;Is there a plural/collective suffix that is restricted to animates?;noun;0.4472322
TE050;Do cardinal numerals require agreement on noun phrases?;noun;1.599033
TE051;Is nominative case unmarked?;noun;0.2083246
TE052;Are accusative-marked objects specific while unmarked objects are non-specific?;noun;-0.7386002
TS001;Can numeral precede the noun?;numeral;-0.3797693
TS002;Can numeral follow the noun?;numeral;-0.01365451
