ID	State0	State1	EstimatedD	NoPhylogeneticStructure	BrownianPhylogeneticStructure	Feature	sort
GB022	30	6	0.4050011	0.0256	0.1962	Are there prenominal articles?	article
GB023	36	1	-0.4338349	268	0.5616	Are there postnominal articles?	article
GB022	30	6	0.4050011	0.0256	0.1962	Are there prenominal articles?	word order
GB023	36	1	-0.4338349	268	0.5616	Are there postnominal articles?	word order
GB026	11	7	0.4603635	0.0896	0.1916	Can adnominal property words occur discontinuously?	word order
GB026	11	7	0.4603635	0.0896	0.1916	Can adnominal property words occur discontinuously?	adjective
GB027	12	11	0.7309815	0.1952	0.0434	Are nominal conjunction and comitative expressed by different elements?	formal expression
GB028	30	6	-0.008334775	0.0016	0.4936	Is there an inclusive/exclusive distinction?	pronoun
GB030	35	1	-5.912093	0.0284	0.9404	Is there a gender distinction in independent 3rd person pronouns?	pronoun
GB028	30	6	-0.008334775	0.0016	0.4936	Is there an inclusive/exclusive distinction?	semantics
GB030	35	1	-5.912093	0.0284	0.9404	Is there a gender distinction in independent 3rd person pronouns?	semantics
GB031	33	2	0.951841	0.4615	0.1607	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	pronoun
GB031	33	2	0.951841	0.4615	0.1607	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	semantics
GB035	22	13	0.5132756	0.0157	0.0539	Are there three or more distance contrasts in demonstratives?	demonstrative
GB035	22	13	0.5132756	0.0157	0.0539	Are there three or more distance contrasts in demonstratives?	semantics
GB037	34	1	0.3027694	0.3471	0.4996	Do demonstratives show a visible-nonvisible distinction?	demonstrative
GB037	34	1	0.3027694	0.3471	0.4996	Do demonstratives show a visible-nonvisible distinction?	semantics
GB039	29	5	0.7650178	0.2024	0.0632	Is there nonphonological allomorphy of noun number markers?	nominal inflection
GB043	36	1	-0.4253341	0.2743	561	Is there productive morphological dual marking on nouns?	nominal inflection
GB044	8	29	0.1430074	7E-04	354	Is there productive morphological plural marking on nouns?	nominal inflection
GB039	29	5	0.7650178	0.2024	0.0632	Is there nonphonological allomorphy of noun number markers?	noun
GB043	36	1	-0.4253341	0.2743	561	Is there productive morphological dual marking on nouns?	noun
GB044	8	29	0.1430074	7E-04	354	Is there productive morphological plural marking on nouns?	noun
GB046	2	24	-1.839791	0.0021	0.89	Is there an associative plural marker for nouns?	noun
